schema_version,feature_set_id,feature_set_label,feature_id,feature_role,prediction_context,target_source,availability_timing,leakage_status,preprocessing_policy
2.2.5,known_structure_composition_baseline_v1,A,metalloid_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_element_count,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_fraction_min,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_fraction_max,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_fraction_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_fraction_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_fraction_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_fraction_entropy,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_fraction_l2_norm,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,composition_dominant_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_number_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_number_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_number_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_number_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_number_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,pairwise_mismatch_atomic_number,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_mass_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_mass_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_mass_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_mass_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_mass_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,pairwise_mismatch_atomic_mass,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_row_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_row_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_row_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_row_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_row_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_group_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_group_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_group_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_group_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,periodic_group_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,pairwise_mismatch_electronegativity,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,mendeleev_number_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,mendeleev_number_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,mendeleev_number_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,mendeleev_number_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,mendeleev_number_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
