split_strategy,model_variant,stratum_type,stratum_value,row_count,coverage,mae,median_absolute_error,rmse,bias,spearman,negative_prediction_rate
random,histogram_gradient_boosting_raw,descriptor_novelty,descriptor_seen,749,0.44583333333333336,0.16078110087389375,0.0301123130878243,0.5179792443056218,-0.0019848775092996974,0.41196302440870397,0.014686248331108143
random,ridge_log1p,descriptor_novelty,descriptor_novel,931,0.5541666666666667,0.07831664779098181,0.05081385944988,0.19020263733479234,0.0022497153272445026,0.3469801231831044,0.06337271750805586
random,ridge_log1p,descriptor_novelty,descriptor_seen,749,0.44583333333333336,0.1485105655263378,0.0626727588506609,0.5169203095617971,-0.04660187265309642,0.20657646842774008,0.009345794392523364
random,ridge_raw,descriptor_novelty,descriptor_novel,931,0.5541666666666667,0.09396549801151681,0.0661827948419079,0.20110580284783952,0.01929853744480201,0.24168598116861545,0.12137486573576799
random,ridge_raw,descriptor_novelty,descriptor_seen,749,0.44583333333333336,0.1855040411401358,0.0991330431045261,0.5169269397035082,-0.0030493370577471266,0.14910373816051772,0.03204272363150868
reduced_formula_group,dummy_median,descriptor_novelty,descriptor_novel,1667,1.0,0.10767393222623371,0.040629236986045,0.4532267639416183,-0.07539660640044867,-0.06906656494006871,0.0
reduced_formula_group,histogram_gradient_boosting_log1p,descriptor_novelty,descriptor_novel,1667,1.0,0.10456088484142156,0.0327906280128705,0.44573542026121865,-0.04401393503891623,0.4649206304964302,0.05458908218356329
reduced_formula_group,histogram_gradient_boosting_raw,descriptor_novelty,descriptor_novel,1667,1.0,0.11745964068646737,0.043596986148154,0.44539857176451,-0.031157293357912924,0.39446462751276956,0.06898620275944811
reduced_formula_group,ridge_log1p,descriptor_novelty,descriptor_novel,1667,1.0,0.12062872837259454,0.0574566321677581,0.4438119743618439,-0.026774533775841776,0.387786580658685,0.04379124175164967
reduced_formula_group,ridge_raw,descriptor_novelty,descriptor_novel,1667,1.0,0.14709048029832464,0.0791586707924857,0.44697886148240856,0.005208241253896835,0.3322519360519088,0.08098380323935213
chemical_system_group,dummy_median,formula_novelty,formula_unseen,1612,1.0,0.09995682970229716,0.0431887368719914,0.40311971220666126,-0.06738680218171603,-0.17982295183616484,0.0
chemical_system_group,histogram_gradient_boosting_log1p,formula_novelty,formula_unseen,1612,1.0,0.10041437779087106,0.04107978296418405,0.40220899209982675,-0.03896474754386455,0.26478342951259665,0.09739454094292804
chemical_system_group,histogram_gradient_boosting_raw,formula_novelty,formula_unseen,1612,1.0,0.10800153113539608,0.04809942102949455,0.4038213294348376,-0.03352066076295153,0.21383871591000952,0.18362282878411912
chemical_system_group,ridge_log1p,formula_novelty,formula_unseen,1612,1.0,0.1017264212235798,0.0451918712108721,0.39959938175698945,-0.041315423581042496,0.1726371234792476,0.04838709677419355
chemical_system_group,ridge_raw,formula_novelty,formula_unseen,1612,1.0,0.10990357900602375,0.04977041789546435,0.4004819027109237,-0.024147355847525347,0.1381827765896437,0.08995037220843673
random,dummy_median,formula_novelty,formula_seen,749,0.44583333333333336,0.13157544005883537,0.0335272906597246,0.529667838774633,-0.11230211314049388,-0.04320361191714078,0.0
random,dummy_median,formula_novelty,formula_unseen,931,0.5541666666666667,0.07165790727300501,0.0456995564409736,0.19084250582904855,-0.024025150166036704,-0.09405947688233433,0.0
random,histogram_gradient_boosting_log1p,formula_novelty,formula_seen,749,0.44583333333333336,0.13983779340377686,0.0270273934609826,0.5030490842377517,-0.03652207727046058,0.44264526917341157,0.009345794392523364
random,histogram_gradient_boosting_log1p,formula_novelty,formula_unseen,931,0.5541666666666667,0.06612007519903892,0.0339169847410783,0.18981252929239112,0.000521673943420026,0.5412862523147539,0.08055853920515575
